id,prefix_id,supplier_id,group_line_id,group_line_name,status_id,created_on,created_by,updated_on,updated_by,transfer_switch
391,8,38,10391,MONTEIL,1,2020-10-13 16:16:30.000,1,2020-10-18 17:06:50.000,1,NULL
390,8,26,10390,MONT BLANC,1,2020-10-13 16:14:55.000,1,2020-10-13 16:14:55.000,1,NULL
389,8,38,10389,MOMO DESIGN,1,2020-10-13 16:07:15.000,1,2020-10-13 16:07:15.000,1,NULL
388,8,30,10388,MISSONI,1,2020-10-13 16:06:11.000,1,2020-10-13 16:06:11.000,1,NULL
387,8,30,10387,MARCO SERUSSI,1,2020-10-13 16:04:54.000,1,2020-10-13 16:04:54.000,1,NULL
386,8,30,10386,LOEWE,1,2020-10-13 16:00:47.000,1,2020-10-13 16:00:47.000,1,NULL
385,8,33,10385,LA PERLA,1,2020-10-13 15:57:01.000,1,2020-10-13 15:57:01.000,1,NULL
384,8,30,10384,EUTOPIE,1,2020-10-13 15:19:16.000,1,2020-10-13 15:19:16.000,1,NULL
383,8,30,10383,ETIENNE AIGNER,1,2020-10-13 15:18:05.000,1,2020-10-13 15:18:05.000,1,NULL
382,8,30,10382,ESCENTRIC MOLECULES,1,2020-10-13 15:16:15.000,1,2020-10-13 15:16:15.000,1,NULL
381,8,30,10381,DALI HAUTE PARFUMERIE,1,2020-10-13 15:08:39.000,1,2020-10-13 15:08:39.000,1,NULL
380,8,26,10380,COMME DES GARCONS,1,2020-10-13 12:35:03.000,1,2020-10-13 12:35:03.000,1,NULL
379,8,26,10379,BOUCHERON,1,2020-10-13 10:27:46.000,1,2020-10-13 10:27:46.000,1,NULL
378,8,35,10378,BORSARI ARTE,1,2020-10-13 10:26:39.000,1,2020-10-18 17:06:07.000,1,NULL
377,8,39,10377,BENTLEY,1,2020-10-13 10:25:43.000,1,2020-10-13 10:25:43.000,1,NULL
376,8,26,10376,ARAMIS,1,2020-10-13 10:17:53.000,1,2020-10-13 10:17:53.000,1,NULL
375,8,22,10375,AMBI PUR,1,2020-04-27 12:02:58.000,1,2020-04-27 12:02:58.000,1,NULL
374,8,2,10374,ARNOTT,1,2020-03-10 12:30:42.000,1,2020-03-10 18:58:08.000,1,NULL
373,8,2,10373,ROYAL DANSK,1,2020-03-10 12:30:07.000,1,2020-03-10 12:30:07.000,1,NULL
372,8,2,10372,TIM TAM,1,2020-03-10 11:00:59.000,1,2020-03-10 11:00:59.000,1,NULL
371,8,NULL,10371,ZINO DAVIDOFF,1,NULL,NULL,NULL,NULL,NULL
370,8,11,10370,ZIG ZAG ,1,NULL,NULL,2020-04-27 12:04:52.000,1,NULL
369,8,NULL,10369,ZEISS,1,NULL,NULL,NULL,NULL,NULL
368,8,NULL,10368,ZEE,1,NULL,NULL,NULL,NULL,NULL
367,8,NULL,10367,ZEADES,1,NULL,NULL,NULL,NULL,NULL
366,8,135,10366,YUJIN,1,NULL,NULL,2021-04-29 12:07:14.000,1,0
365,8,26,10365,YSL,1,NULL,NULL,2020-10-13 16:27:22.000,1,NULL
364,8,110,10364,YES FOR LOVE,1,NULL,NULL,2021-04-29 12:06:09.000,1,0
363,8,NULL,10363,WOODY WOOD PECKER,1,NULL,NULL,NULL,NULL,NULL
362,8,NULL,10362,WINX GIFT,1,NULL,NULL,NULL,NULL,NULL
361,8,90,10361,WINX FAIRY COUTURE,1,NULL,NULL,2021-04-29 12:05:32.000,1,0
360,8,5,10360,WEST,1,NULL,NULL,2020-04-27 11:48:19.000,1,NULL
359,8,NULL,10359,WENGER,1,NULL,NULL,NULL,NULL,NULL
358,8,NULL,10358,WANTED BY JESSE,1,NULL,NULL,NULL,NULL,NULL
357,8,NULL,10357,VUARNET,1,NULL,NULL,NULL,NULL,NULL
356,8,17,10356,VON EICKEN,1,NULL,NULL,2020-04-27 13:21:12.000,1,NULL
355,8,16,10355,VILLIGER,1,NULL,NULL,2020-04-27 12:04:00.000,1,NULL
354,8,15,10354,VIDAL,1,NULL,NULL,2020-04-27 12:01:41.000,1,NULL
353,8,NULL,10353,VERSUS,1,NULL,NULL,NULL,NULL,NULL
352,8,30,10352,VERSACE,1,NULL,NULL,2020-10-13 16:26:27.000,1,NULL
351,8,3,10351,VALOR,1,NULL,NULL,2020-04-27 13:22:25.000,1,NULL
350,8,26,10350,VALENTINO,1,NULL,NULL,2020-10-13 16:25:28.000,1,NULL
349,8,NULL,10349,VALENTINA,1,NULL,NULL,NULL,NULL,NULL
348,8,NULL,10348,V8,1,NULL,NULL,NULL,NULL,NULL
347,8,79,10347,V CANTO,1,NULL,NULL,2021-04-29 12:01:38.000,1,0
346,8,NULL,10346,USHER,1,NULL,NULL,NULL,NULL,NULL
345,8,142,10345,UNGARO,1,NULL,NULL,2021-04-29 12:00:44.000,1,0
344,8,NULL,10344,UGO VANELLI,1,NULL,NULL,NULL,NULL,NULL
343,8,NULL,10343,TWIST,1,NULL,NULL,NULL,NULL,NULL
342,8,30,10342,TRUSSARDI,1,NULL,NULL,2020-10-13 16:25:00.000,1,NULL
341,8,NULL,10341,TOUCH,1,NULL,NULL,NULL,NULL,NULL
340,8,NULL,10340,TONI GARD,1,NULL,NULL,NULL,NULL,NULL
339,8,NULL,10339,TOMMY HILFIGER,1,NULL,NULL,NULL,NULL,NULL
338,8,26,10338,TOM FORD,1,NULL,NULL,2020-10-13 16:24:37.000,1,NULL
337,8,30,10337,THIERRY MUGLER,1,NULL,NULL,2020-10-13 16:23:06.000,1,NULL
336,8,NULL,10336,THEODOR HELD ,1,NULL,NULL,NULL,NULL,NULL
335,8,116,10335,TEO CABANEL,1,NULL,NULL,2021-04-29 12:00:10.000,1,0
334,8,NULL,10334,TEMPORE,1,NULL,NULL,NULL,NULL,NULL
333,8,NULL,10333,TED LAPIDUS,1,NULL,NULL,NULL,NULL,NULL
332,8,14,10332,TCHIBO,1,NULL,NULL,2019-12-08 20:55:45.000,1,NULL
331,8,NULL,10331,TABOO,1,NULL,NULL,NULL,NULL,NULL
330,8,145,10330,SWEET YEARS,1,NULL,NULL,2021-04-29 11:59:44.000,1,0
329,8,NULL,10329,SWAROVSKI,1,NULL,NULL,NULL,NULL,NULL
328,8,NULL,10328,SWANK,1,NULL,NULL,NULL,NULL,NULL
327,8,157,10327,SUCCESS BY TRUMP,1,NULL,NULL,2021-04-29 11:59:00.000,1,0
326,8,NULL,10326,STARWALKER,1,NULL,NULL,NULL,NULL,NULL
325,8,NULL,10325,STANLEY,1,NULL,NULL,NULL,NULL,NULL
324,8,NULL,10324,STAHL,1,NULL,NULL,NULL,NULL,NULL
323,8,NULL,10323,ST. HILAIRE,1,NULL,NULL,NULL,NULL,NULL
